"pre_tx_ob_ts","tx_ts","post_tx_ob_ts","trade_seq","trade_id","instrument_name","currency","expiration","strike","putcall","block_trade_id","liquidation","direction","tick_direction","tx_amount","tx_iv","cash_iv","price","price_usd","index_price","underlying_price","volume_24h","high_24h","low_24h","pre_tx_bb_size","pre_tx_bb_price","pre_tx_bb_iv","pre_tx_mid_iv","pre_tx_mid_price","pre_tx_mark_iv","pre_tx_mark_price","pre_tx_ba_iv","pre_tx_ba_price","pre_tx_ba_size","post_tx_bb_size","post_tx_bb_price","post_tx_bb_iv","post_tx_mid_iv","post_tx_mid_price","post_tx_mark_iv","post_tx_mark_price","post_tx_ba_iv","post_tx_ba_price","post_tx_ba_size","delta","gamma","theta","vega","rho","pre_tx_oi","post_tx_oi","oi_change","dbt_dir","gvol_dir","max_score_perc"
"2024-04-17 19:44:03.97","2024-04-17 19:44:27.146","2024-04-17 19:44:27.146","344","297861827","BTC-18APR24-60000-P","BTC","2024-04-18 08:00:00",60000,"P",,,"sell","ZeroMinus",0.1,77.68,0,0.0055,335.04,60917.28,60919.9848,197.5,0.015,0.0014,78.9,0.005,72.63,78.37,0.00575,79.76,0.0059,84.12,0.0065,83.8,15.7,0.0055,77.68,81.5,0.006,79.77,0.0058,85.33,0.0065,83.5,-0.2999,0.00019,-316.0835,7.92499,-0.2607,173.6,173.7,0,-1,-1,100
"2024-04-17 19:43:41.444","2024-04-17 19:43:43.372","2024-04-17 19:43:43.372","1693","297861763","BTC-26APR24-67000-C","BTC","2024-04-26 08:00:00",67000,"C",,,"buy","MinusTick",1,71.2,71.6,0.012,730.55,60879.62,60927.65,362.4,0.0265,0.01,51.1,0.0115,70.06,70.64,0.01175,71.03,0.0119,71.22,0.012,1,57.1,0.0115,70.05,71.19,0.012,71.03,0.0119,72.34,0.0125,41.5,0.2056,4e-05,-110.51,26.48308,2.752,991.2,991.2,0,1,-1,100
"2024-04-17 19:43:32.985","2024-04-17 19:43:33.645","2024-04-17 19:43:33.645","233","297861749","BTC-3MAY24-65000-C","BTC","2024-05-03 08:00:00",65000,"C",,,"buy","MinusTick",0.1,68.92,70.1,0.0315,1916.82,60851.66,61011.644,28.1,0.055,0.027,50.2,0.031,68.27,68.59,0.03125,69.1,0.0316,68.92,0.0315,0.1,50.2,0.031,68.27,68.92,0.0315,69.1,0.0316,69.57,0.032,8,0.3544,4e-05,-104.2379,46.79867,8.3698,162,162,0,1,-1,55
"2024-04-17 19:43:22.858","2024-04-17 19:43:25.219","2024-04-17 19:43:25.219","201","297861739","BTC-27SEP24-52000-P","BTC","2024-09-27 08:00:00",52000,"P",,,"buy","MinusTick",0.7,73.94,68.1,0.1031,6270.14,60816.16,63068.64,23.3,0.1065,0.0885,6,0.102,73.44,73.9,0.103,73.89,0.1029,74.36,0.104,5.3,6,0.102,73.43,73.89,0.103,73.89,0.103,74.35,0.104,5.3,-0.2617,1e-05,-31.1383,136.97731,-102.4226,189.9,189.9,0,1,1,100
"2024-04-17 19:43:21.912","2024-04-17 19:43:25.219","2024-04-17 19:43:25.219","57","297861738","BTC-27SEP24-46000-P","BTC","2024-09-27 08:00:00",46000,"P",,,"sell","PlusTick",0.7,74,69.1,0.0656,3989.54,60816.16,63068.64,0,,,7,0.065,73.68,74.09,0.06575,74.02,0.0655,74.51,0.0665,4.4,7,0.065,73.66,74.08,0.06575,74.02,0.0656,74.5,0.0665,4.4,-0.1878,1e-05,-25.825,113.39646,-71.1786,29.5,30.2,0.6,-1,-1,77
"2024-04-17 19:42:30.479","2024-04-17 19:42:31.964","2024-04-17 19:42:31.964","343","297861674","BTC-18APR24-60000-P","BTC","2024-04-18 08:00:00",60000,"P",,,"sell","MinusTick",0.1,74.06,0,0.0055,334.63,60843.51,60827.3812,197.4,0.015,0.0014,75.8,0.0055,74.01,79.62,0.00625,79.75,0.0063,85.24,0.007,78.5,75.7,0.0055,74.06,79.68,0.00625,79.75,0.0062,85.3,0.007,78.5,-0.3179,0.0002,-323.9253,8.12318,-0.2765,173.6,173.6,0,-1,-1,100
"2024-04-17 19:42:26.795","2024-04-17 19:42:28.002","2024-04-17 19:42:34.509","49","297861673","BTC-20APR24-60000-P","BTC","2024-04-20 08:00:00",60000,"P",,,"sell","PlusTick",0.1,73.52,74.1,0.018,1094.97,60831.68,60826.93,46.5,0.029,0.0065,4.7,0.018,73.51,75.07,0.0185,74.27,0.0182,76.63,0.019,27.9,4.7,0.018,73.61,74.39,0.01825,74.27,0.0182,75.17,0.0185,2.4,-0.4001,0.0001,-288.2308,19.49645,-1.7511,32.9,32.9,0,-1,-1,100
"2024-04-17 19:42:20.408","2024-04-17 19:42:24.588","2024-04-17 19:42:24.595","110","297861672","BTC-27DEC24-34000-P","BTC","2024-12-27 08:00:00",34000,"P",,,"buy","PlusTick",0.1,76.49,71.1,0.0365,2220.51,60835.93,64762.82,1,0.0315,0.0315,19.7,0.0355,75.75,76.12,0.036,76.71,0.0368,76.49,0.0365,0.1,19.7,0.0355,75.76,76.67,0.03675,76.71,0.0368,77.58,0.038,10,-0.0921,0,-13.4953,89.20051,-58.0056,31.5,31.5,0,1,-1,55
"2024-04-17 19:42:00.832","2024-04-17 19:42:14.776","2024-04-17 19:42:17.239","379","297861671","BTC-3MAY24-68000-C","BTC","2024-05-03 08:00:00",68000,"C",,,"sell","ZeroPlus",1,69.44,70.6,0.0195,1186.28,60834.99,61008.038,65.9,0.0365,0.018,87.9,0.019,68.74,69.51,0.0195,69.7,0.0196,70.29,0.02,5,10.4,0.0195,69.4,69.78,0.01975,69.7,0.0197,70.17,0.02,4,0.2472,4e-05,-89.257,39.72995,5.8994,133.4,133.4,0,-1,-1,77
"2024-04-17 19:42:01.158","2024-04-17 19:42:05.383","2024-04-17 19:42:15.996","75","297861660","BTC-18APR24-61500-C","BTC","2024-04-18 08:00:00",61500,"C",,,"buy","ZeroMinus",0.2,68.79,69.1,0.0055,334.44,60808.42,60826.0939,30.7,0.0205,0.0041,53.5,0.005,64.27,67.95,0.0055,68.52,0.0055,71.63,0.006,16.1,0.8,0.0055,67.1,70.73,0.006,68.54,0.0057,74.36,0.0065,48.2,0.3386,0.00023,-285.7771,8.33862,0.2843,22.9,23.1,0.2,1,1,44
