"ts","instrument_name","currency","expiration","strike","putcall","best_bid_amount","best_bid_price","mark_price","best_ask_price","best_ask_amount","is_atm","open_interest","delta","gamma","rho","theta","vega","bid_iv","mark_iv","ask_iv","underlying_price","index_price"
"2024-04-17 19:44:00","BTC-18APR24-78000-C","BTC","2024-04-18 08:00:00","78000","C",0,0,0,0.0001,3,FALSE,0.8,0,0,0,0,0,0,99.43,242.59,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-78000-P","BTC","2024-04-18 08:00:00","78000","P",1.2,0.0001,0.2807,0,0,FALSE,0,-1,0,-1.09224,0,0,0,99.43,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-77000-C","BTC","2024-04-18 08:00:00","77000","C",0,0,0,0.0001,2,FALSE,0.7,0,0,0,0,0,0,99.33,231.33,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-77000-P","BTC","2024-04-18 08:00:00","77000","P",1.2,0.0001,0.2643,0,0,FALSE,0,-1,0,-1.07823,0,0,0,99.33,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-76000-C","BTC","2024-04-18 08:00:00","76000","C",0,0,0,0.0001,3,FALSE,1.1,0,0,0,0,0,0,97.04,219.86,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-76000-P","BTC","2024-04-18 08:00:00","76000","P",1.2,0.0001,0.2479,0,0,FALSE,0,-1,0,-1.06423,0,0,0,97.04,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-75000-C","BTC","2024-04-18 08:00:00","75000","C",0,0,0,0.0001,3,FALSE,6.2,0,0,0,0,0,0,94.71,208.16,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-75000-P","BTC","2024-04-18 08:00:00","75000","P",1.2,0.0001,0.2315,0,0,FALSE,0,-1,0,-1.05023,-2e-05,0,0,94.71,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-74000-C","BTC","2024-04-18 08:00:00","74000","C",0,0,0,0.0001,3,FALSE,2.8,0,0,0,-1e-05,0,0,94.01,196.23,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-74000-P","BTC","2024-04-18 08:00:00","74000","P",1.2,0.0001,0.2151,0,0,FALSE,0,-1,0,-1.03623,-0.0001,0,0,94.01,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-73000-C","BTC","2024-04-18 08:00:00","73000","C",0,0,0,0.0001,0.3,FALSE,6.4,0,0,0,-5e-05,2e-05,0,93.84,184.05,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-73000-P","BTC","2024-04-18 08:00:00","73000","P",1.2,0.0001,0.1986,0,0,FALSE,0,-1,0,-1.02222,-0.00077,2e-05,0,93.84,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-72000-C","BTC","2024-04-18 08:00:00","72000","C",0,0,0,0.0001,0.1,FALSE,7.4,0,0,0,-0.00041,0.00011,0,93.84,171.73,60893.7265,60899.59
"2024-04-17 19:44:00","BTC-18APR24-72000-P","BTC","2024-04-18 08:00:00","72000","P",1.2,0.0001,0.1822,0,0,FALSE,0,-1,0,-1.00822,-0.00539,0.00011,0,93.84,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-71000-C","BTC","2024-04-18 08:00:00","71000","C",0,0,0,0.0004,13,FALSE,9,1e-05,0,1e-05,-0.00302,0.0007,0,93.83,188.53,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-71000-P","BTC","2024-04-18 08:00:00","71000","P",1.2,0.0001,0.1658,0,0,FALSE,0,-0.99999,0,-0.99421,-0.03301,0.0007,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-70500-C","BTC","2024-04-18 08:00:00","70500","C",0,0,0,0.0001,1,FALSE,14.2,2e-05,0,1e-05,-0.00772,0.00166,0,93.83,152.4,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-70500-P","BTC","2024-04-18 08:00:00","70500","P",1.2,0.0001,0.1576,0,0,FALSE,0.1,-0.99998,0,-0.9872,-0.07765,0.00166,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-70000-C","BTC","2024-04-18 08:00:00","70000","C",0,0,0,0.0002,5,FALSE,14.3,4e-05,0,3e-05,-0.01913,0.00376,0,93.83,158.26,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-70000-P","BTC","2024-04-18 08:00:00","70000","P",1.2,0.0001,0.1494,0,0,FALSE,0.2,-0.99996,0,-0.98018,-0.17643,0.00376,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-69500-C","BTC","2024-04-18 08:00:00","69500","C",0,0,0,0.0001,1,FALSE,6.7,9e-05,0,8e-05,-0.04592,0.00824,0,93.83,139.21,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-69500-P","BTC","2024-04-18 08:00:00","69500","P",1.2,0.0001,0.1412,0,0,FALSE,0,-0.99991,0,-0.97313,-0.38681,0.00824,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-69000-C","BTC","2024-04-18 08:00:00","69000","C",0,0,0,0.0002,1.1,FALSE,2,0.0002,0,0.00017,-0.10676,0.01743,0,93.83,144,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-69000-P","BTC","2024-04-18 08:00:00","69000","P",1.2,0.0001,0.133,0,0,FALSE,2,-0.9998,0,-0.96604,-0.81768,0.01743,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-68500-C","BTC","2024-04-18 08:00:00","68500","C",0,0,0,0.0002,1,FALSE,18.8,0.00043,0,0.00036,-0.23648,0.035,0,93.83,136.87,60893.7265,60899.59
"2024-04-17 19:44:00","BTC-18APR24-68500-P","BTC","2024-04-18 08:00:00","68500","P",1.2,0.0001,0.1248,0,0,FALSE,0,-0.99957,0,-0.95884,-1.66523,0.03549,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-68000-C","BTC","2024-04-18 08:00:00","68000","C",0,0,0,0.0002,7,FALSE,35,0.00088,0,0.00075,-0.5134,0.06844,0,93.83,129.53,60891.4184,60897.55
"2024-04-17 19:44:00","BTC-18APR24-68000-P","BTC","2024-04-18 08:00:00","68000","P",1.2,0.0001,0.1165,0,0,FALSE,2,-0.9991,0,-0.95145,-3.26433,0.06958,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-67500-C","BTC","2024-04-18 08:00:00","67500","C",0,0,0,0.0002,7,FALSE,9.9,0.0018,0,0.00152,-1.10245,0.13117,0,93.83,121.86,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-67500-P","BTC","2024-04-18 08:00:00","67500","P",1.2,0.0001,0.1083,0,0,FALSE,0,-0.9982,0,-0.94369,-6.15396,0.13117,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-67000-C","BTC","2024-04-18 08:00:00","67000","C",0,0,0,0.0002,1,FALSE,15.5,0.00347,0,0.00293,-2.24561,0.23759,0,93.83,114.25,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-67000-P","BTC","2024-04-18 08:00:00","67000","P",1.2,0.0001,0.1002,0,0,FALSE,2.5,-0.99653,0,-0.93528,-11.14693,0.23759,0,93.83,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-66500-C","BTC","2024-04-18 08:00:00","66500","C",0,0,0.0001,0.0002,0.9,FALSE,48.9,0.00622,1e-05,0.00525,-4.22927,0.40017,0,93.36,106.51,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-66500-P","BTC","2024-04-18 08:00:00","66500","P",67.1,0.09,0.092,0.0955,67.2,FALSE,5.1,-0.99378,1e-05,-0.92596,-18.68038,0.40017,0,93.36,186.21,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-66000-C","BTC","2024-04-18 08:00:00","66000","C",0,0,0.0001,0.0003,0.9,FALSE,40.5,0.00677,1e-05,0.00572,-4.31022,0.43133,0,86.63,104.84,60891.4184,60897.55
"2024-04-17 19:44:00","BTC-18APR24-66000-P","BTC","2024-04-18 08:00:00","66000","P",67.2,0.082,0.0838,0.086,67.8,FALSE,12.1,-0.99312,1e-05,-0.91839,-18.95129,0.43753,0,86.63,155.31,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-65500-C","BTC","2024-04-18 08:00:00","65500","C",4.2,0.0001,0.0001,0.0002,1.7,FALSE,40.8,0.01236,2e-05,0.01042,-8.3363,0.7303,82.79,86.2,90.81,60891.4184,60897.55
"2024-04-17 19:44:00","BTC-18APR24-65500-P","BTC","2024-04-18 08:00:00","65500","P",67.3,0.0735,0.0756,0.078,67.8,FALSE,4.3,-0.98745,2e-05,-0.90662,-31.89385,0.73996,0,86.2,147.61,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-65000-C","BTC","2024-04-18 08:00:00","65000","C",72.9,0.0001,0.0001,0.0003,0.8,FALSE,99.2,0.01369,2e-05,0.01156,-8.52136,0.79775,75.17,78.57,87.89,60891.4184,60897.55
"2024-04-17 19:44:00","BTC-18APR24-65000-P","BTC","2024-04-18 08:00:00","65000","P",67.1,0.0655,0.0674,0.071,67.2,FALSE,3.3,-0.98608,2e-05,-0.89844,-31.80865,0.80952,0,78.59,152.43,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-64500-C","BTC","2024-04-18 08:00:00","64500","C",0.5,0.0002,0.0002,0.0004,2.1,FALSE,52.4,0.0203,3e-05,0.01714,-12.54467,1.11757,74.07,74.4,82.85,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-64500-P","BTC","2024-04-18 08:00:00","64500","P",3,0.0255,0.0593,0.096,3,FALSE,2.9,-0.9797,3e-05,-0.88606,-41.57099,1.11757,0,74.4,404.17,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-64000-C","BTC","2024-04-18 08:00:00","64000","C",1.3,0.0003,0.0004,0.0006,8.6,FALSE,49.3,0.03591,5e-05,0.03028,-23.60749,1.79793,70.15,73.35,79.65,60891.4184,60897.55
"2024-04-17 19:44:00","BTC-18APR24-64000-P","BTC","2024-04-18 08:00:00","64000","P",67.3,0.049,0.0513,0.0535,67.8,FALSE,17.9,-0.96356,5e-05,-0.86545,-66.75592,1.82017,0,73.35,113.94,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-63500-C","BTC","2024-04-18 08:00:00","63500","C",1.5,0.0005,0.0006,0.0009,8.7,FALSE,42.2,0.0557,7e-05,0.04697,-37.35944,2.56022,67.05,69.9,76.03,60889.2737,60910.78
"2024-04-17 19:44:00","BTC-18APR24-63500-P","BTC","2024-04-18 08:00:00","63500","P",67.2,0.0415,0.0433,0.047,67.2,FALSE,43.7,-0.94335,7e-05,-0.84141,-90.70482,2.59512,0,69.9,119.95,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-63000-C","BTC","2024-04-18 08:00:00","63000","C",34.3,0.0009,0.0011,0.0015,8.7,FALSE,33.8,0.09559,0.00011,0.08053,-69.75267,3.86875,64.91,68.99,74.23,60889.2737,60910.78
"2024-04-17 19:44:00","BTC-18APR24-63000-P","BTC","2024-04-18 08:00:00","63000","P",67.1,0.0335,0.0356,0.038,67.8,FALSE,54.7,-0.90296,0.00011,-0.80043,-134.96493,3.91254,0,68.99,97.72,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-62500-C","BTC","2024-04-18 08:00:00","62500","C",54.5,0.0017,0.0022,0.0025,26.5,FALSE,34.1,0.16078,0.00016,0.13528,-131.49266,5.56284,63.67,68.91,72.54,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-62500-P","BTC","2024-04-18 08:00:00","62500","P",67.3,0.026,0.0284,0.032,67.1,FALSE,20.5,-0.83922,0.00016,-0.73991,-191.65406,5.56284,0,68.91,102.34,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-62000-C","BTC","2024-04-18 08:00:00","62000","C",5.9,0.0033,0.0037,0.0041,5.9,FALSE,55.2,0.24563,0.0002,0.20627,-225.86019,7.17278,65.37,68.9,72.17,60889.2737,60910.78
"2024-04-17 19:44:00","BTC-18APR24-62000-P","BTC","2024-04-18 08:00:00","62000","P",67.7,0.019,0.0218,0.025,67.3,FALSE,60.6,-0.75169,0.0002,-0.65964,-248.57983,7.21606,41.59,68.9,94.34,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-61500-C","BTC","2024-04-18 08:00:00","61500","C",37,0.0055,0.0062,0.007,79.4,FALSE,23.1,0.35785,0.00024,0.29994,-292.69822,8.50894,63.99,68.8,74.72,60905.8495,60912.76
"2024-04-17 19:44:00","BTC-18APR24-61500-P","BTC","2024-04-18 08:00:00","61500","P",67.8,0.014,0.016,0.018,67.3,FALSE,28,-0.64294,0.00024,-0.56192,-292.45288,8.50194,54.5,68.8,83.24,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-61000-C","BTC","2024-04-18 08:00:00","61000","C",14.6,0.0095,0.0099,0.0105,15.3,TRUE,21.9,0.48159,0.00024,0.40224,-325.66204,9.08227,68.81,71.71,75.51,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-61000-P","BTC","2024-04-18 08:00:00","61000","P",55.4,0.0105,0.0115,0.012,14.2,FALSE,78.4,-0.51841,0.00024,-0.45194,-325.66204,9.08227,64.78,71.71,74.84,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-60500-C","BTC","2024-04-18 08:00:00","60500","C",9.8,0.0145,0.0148,0.0155,13.9,FALSE,19.3,0.59831,0.00022,0.4976,-332.55553,8.81444,73.1,75.46,80.01,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-60500-P","BTC","2024-04-18 08:00:00","60500","P",50.8,0.0075,0.0082,0.0085,12.6,TRUE,49,-0.40169,0.00022,-0.34958,-332.55553,8.81444,70.4,75.46,77.32,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-60000-C","BTC","2024-04-18 08:00:00","60000","C",69.2,0.0175,0.0207,0.023,66.7,FALSE,14.3,0.69677,0.00019,0.57659,-317.55528,7.96221,53.99,79.77,97.14,60902.5613,60913.97
