"ts","amount","block_trade_id","direction","index_price","price","mark_price","trade_id","trade_seq"
"2024-04-17 19:52:18.389+00",60,"","sell",61129.64,61106.5,61108.67,"297862814",205030387
"2024-04-17 19:52:17.242+00",10,"","buy",61125.5,61098,61104.61,"297862813",205030386
"2024-04-17 19:52:16.103+00",25000,"","buy",61114.88,61092,61093.92,"297862812",205030385
"2024-04-17 19:52:16.103+00",10,"","buy",61114.88,61092,61093.92,"297862811",205030384
"2024-04-17 19:52:14.769+00",4440,"","sell",61119.3,61106.5,61098.53,"297862810",205030383
"2024-04-17 19:52:06.487+00",10,"","buy",61104.61,61095.5,61082.25,"297862808",205030382
"2024-04-17 19:52:06.144+00",15870,"","buy",61104.61,61086,61082.25,"297862807",205030381
"2024-04-17 19:52:06.143+00",4820,"","buy",61104.61,61086,61082.25,"297862806",205030380
"2024-04-17 19:52:06.141+00",1660,"","buy",61104.61,61086,61082.25,"297862805",205030379
"2024-04-17 19:52:06.14+00",10,"","buy",61104.61,61086,61082.25,"297862803",205030377
"2024-04-17 19:52:06.14+00",2650,"","buy",61104.61,61086,61082.25,"297862804",205030378
"2024-04-17 19:52:06.14+00",40,"","buy",61104.61,61086,61082.25,"297862802",205030376
"2024-04-17 19:52:04.249+00",50,"","buy",61090.28,61072,61067.56,"297862800",205030374
"2024-04-17 19:52:04.249+00",10,"","buy",61090.28,61072,61067.56,"297862801",205030375
"2024-04-17 19:52:04.059+00",10,"","buy",61090.28,61071,61067.56,"297862799",205030373
"2024-04-17 19:52:04.059+00",40,"","buy",61090.28,61071,61067.56,"297862798",205030372
"2024-04-17 19:52:03.6+00",40,"","buy",61086.78,61061,61063.79,"297862796",205030370
"2024-04-17 19:52:03.6+00",10,"","buy",61086.78,61061,61063.79,"297862797",205030371
"2024-04-17 19:52:03.443+00",1110,"","buy",61086.78,61058,61063.79,"297862794",205030368
"2024-04-17 19:52:03.443+00",40,"","buy",61086.78,61058,61063.79,"297862795",205030369
"2024-04-17 19:52:03.441+00",4440,"","buy",61086.78,61058,61063.79,"297862793",205030367
"2024-04-17 19:52:03.44+00",3500,"","buy",61086.78,61058,61063.79,"297862792",205030366
"2024-04-17 19:52:03.438+00",4950,"","buy",61086.78,61058,61063.79,"297862791",205030365
"2024-04-17 19:52:03.437+00",2380,"","buy",61086.78,61058,61063.79,"297862790",205030364
"2024-04-17 19:52:03.43+00",20,"","buy",61086.78,61058,61063.79,"297862786",205030360
"2024-04-17 19:52:03.43+00",6670,"","buy",61086.78,61058,61063.79,"297862788",205030362
"2024-04-17 19:52:03.43+00",10,"","buy",61086.78,61058,61063.79,"297862787",205030361
"2024-04-17 19:52:03.43+00",8620,"","buy",61086.78,61058,61063.79,"297862789",205030363
"2024-04-17 19:52:03.355+00",120,"","buy",61086.78,61058,61063.79,"297862785",205030359
"2024-04-17 19:52:03.347+00",750,"","buy",61086.78,61058,61063.79,"297862784",205030358
"2024-04-17 19:52:03.295+00",120,"","buy",61086.78,61058,61063.79,"297862783",205030357
"2024-04-17 19:52:03.269+00",20,"","buy",61086.78,61058,61063.79,"297862782",205030356
"2024-04-17 19:51:59.244+00",10,"","buy",61076.64,61044.5,61053.83,"297862780",205030354
"2024-04-17 19:51:59.244+00",750,"","buy",61076.64,61044.5,61053.83,"297862781",205030355
"2024-04-17 19:51:51.576+00",320,"","sell",61092.36,61071.5,61071.54,"297862779",205030353
"2024-04-17 19:51:51.575+00",140,"","sell",61092.36,61071.5,61071.54,"297862778",205030352
"2024-04-17 19:51:46.582+00",2710,"","buy",61098.71,61072,61078.31,"297862777",205030351
"2024-04-17 19:51:43.893+00",100,"","buy",61092.94,61072,61073.07,"297862776",205030350
"2024-04-17 19:51:43.893+00",10,"","buy",61092.94,61072,61073.07,"297862775",205030349
"2024-04-17 19:51:43.044+00",50,"","sell",61084.58,61071.5,61064.75,"297862773",205030347
"2024-04-17 19:51:43.044+00",4950,"","sell",61084.58,61071.5,61064.75,"297862774",205030348
"2024-04-17 19:51:42.688+00",10,"","buy",61084.58,61066.5,61064.28,"297862771",205030346
"2024-04-17 19:51:41.655+00",910,"","buy",61079.12,61137.5,61127.13,"297862770",304742
"2024-04-17 19:51:41.437+00",90,"","buy",61079.13,61052,61058.58,"297862769",205030345
"2024-04-17 19:51:41.434+00",120,"","buy",61079.13,61052,61058.58,"297862768",205030344
"2024-04-17 19:51:41.431+00",120,"","buy",61079.13,61052,61058.58,"297862767",205030343
"2024-04-17 19:51:41.429+00",160,"","buy",61079.13,61052,61058.58,"297862766",205030342
"2024-04-17 19:51:41.423+00",10,"","buy",61079.13,61052,61058.58,"297862764",205030340
"2024-04-17 19:51:41.423+00",3040,"","buy",61079.13,61052,61058.58,"297862765",205030341
"2024-04-17 19:51:37.962+00",25000,"","buy",61079.91,61051,61060.06,"297862762",205030339
"2024-04-17 19:51:37.962+00",10,"","buy",61079.91,61051,61060.06,"297862761",205030338
"2024-04-17 19:51:36.919+00",12860,"","sell",61083.75,61067,61064.21,"297862759",205030336
"2024-04-17 19:51:36.919+00",3280,"","sell",61083.75,61067,61064.21,"297862760",205030337
"2024-04-17 19:51:36.885+00",10,"","sell",61083.75,61065,61053.49,"297862758",85676
"2024-04-17 19:51:29.774+00",370,"","sell",61097.81,61088.5,61078.36,"297862757",205030335
"2024-04-17 19:51:26.33+00",10,"","buy",61093.88,61079.5,61073.66,"297862756",205030334
"2024-04-17 19:51:25.482+00",19840,"","buy",61093.88,61067.5,61073.33,"297862755",205030333
"2024-04-17 19:51:25.482+00",10,"","buy",61093.88,61067.5,61073.33,"297862754",205030332
"2024-04-17 19:51:19.402+00",100,"","sell",61103.84,61092,61084.54,"297862752",205030330
"2024-04-17 19:51:19.402+00",400,"","sell",61103.84,61085.5,61084.54,"297862753",205030331
"2024-04-17 19:51:18.105+00",10,"","buy",61104.63,61085,61085.23,"297862751",205030329
"2024-04-17 19:51:18.088+00",25000,"","buy",61104.63,61085,61085.23,"297862750",205030328
"2024-04-17 19:51:18.043+00",10,"","buy",61104.63,61085,61085.23,"297862749",205030327
"2024-04-17 19:51:17.147+00",180,"","sell",61090.88,61084.5,61071.29,"297862748",205030326
"2024-04-17 19:51:15.842+00",4160,"","buy",61090.88,61072.5,61070.57,"297862747",205030325
"2024-04-17 19:51:15.836+00",2510,"","buy",61090.88,61072.5,61070.57,"297862746",205030324
"2024-04-17 19:51:15.816+00",25000,"","buy",61090.88,61071,61070.57,"297862744",205030322
"2024-04-17 19:51:15.816+00",25000,"","buy",61090.88,61071.5,61070.57,"297862745",205030323
"2024-04-17 19:51:15.816+00",10,"","buy",61090.88,61071,61070.57,"297862743",205030321
"2024-04-17 19:51:13.779+00",10000,"","sell",61090.7,61070.5,61070.38,"297862741",205030319
"2024-04-17 19:51:13.779+00",2000,"","sell",61090.7,61070.5,61070.38,"297862742",205030320
"2024-04-17 19:51:11.233+00",8290,"","sell",61096.84,61070,61076.43,"297862740",205030318
"2024-04-17 19:51:11.233+00",6100,"","sell",61096.84,61072,61076.43,"297862739",205030317
"2024-04-17 19:51:10.132+00",21370,"","sell",61109.78,61074,61089.48,"297862738",205030316
"2024-04-17 19:51:10.132+00",50,"","sell",61109.78,61074,61089.48,"297862737",205030315
"2024-04-17 19:51:06.751+00",20,"","sell",61120.33,61084.5,61101.38,"297862735",205030313
"2024-04-17 19:51:06.751+00",14370,"","sell",61120.33,61084.5,61101.38,"297862736",205030314
"2024-04-17 19:51:05.646+00",10,"","sell",61127.7,61100,61109.31,"297862731",205030309
"2024-04-17 19:51:05.646+00",12090,"","sell",61127.7,61090.5,61109.31,"297862733",205030311
"2024-04-17 19:51:05.646+00",3320,"","sell",61127.7,61084,61109.31,"297862734",205030312
"2024-04-17 19:51:05.646+00",6000,"","sell",61127.7,61093,61109.31,"297862732",205030310
"2024-04-17 19:51:04.156+00",2790,"","sell",61144.83,61118,61127.32,"297862730",205030308
"2024-04-17 19:51:03.74+00",10,"","sell",61144.83,61118.5,61127.32,"297862728",205030306
"2024-04-17 19:51:03.74+00",1210,"","sell",61144.83,61118,61127.32,"297862729",205030307
"2024-04-17 19:51:03.739+00",10,"","sell",61144.83,61120,61127.32,"297862726",205030304
"2024-04-17 19:51:03.739+00",3010,"","sell",61144.83,61118.5,61127.32,"297862727",205030305
"2024-04-17 19:51:03.734+00",7090,"","sell",61144.83,61120,61127.32,"297862725",205030303
"2024-04-17 19:51:03.732+00",5300,"","sell",61144.83,61120,61127.32,"297862724",205030302
"2024-04-17 19:51:03.712+00",10,"","sell",61144.83,61117.5,61116.48,"297862723",85675
"2024-04-17 19:51:03.693+00",50,"","sell",61144.83,61123,61127.32,"297862722",205030301
"2024-04-17 19:51:03.689+00",6740,"","sell",61144.83,61127,61127.32,"297862720",205030299
"2024-04-17 19:51:03.689+00",170,"","sell",61144.83,61127,61127.32,"297862721",205030300
"2024-04-17 19:51:03.658+00",50,"","sell",61144.83,61128.5,61127.32,"297862719",205030298
"2024-04-17 19:51:03.658+00",1870,"","sell",61144.83,61128.5,61127.32,"297862718",205030297
"2024-04-17 19:50:58.091+00",100,"","sell",61151.45,61131.5,61133.99,"297862716",205030295
"2024-04-17 19:50:58.091+00",100,"","sell",61151.45,61131.5,61133.99,"297862717",205030296
"2024-04-17 19:50:53.073+00",520,"","sell",61159.02,61144,61142.33,"297862714",205030293
"2024-04-17 19:50:53.073+00",10,"","sell",61159.02,61144,61142.33,"297862715",205030294
"2024-04-17 19:50:48.357+00",19400,"","buy",61154.63,61140,61138.03,"297862710",205030289
"2024-04-17 19:50:48.357+00",700,"","buy",61154.63,61136.5,61138.03,"297862706",205030285
"2024-04-17 19:50:48.357+00",50,"","buy",61154.63,61147.5,61138.03,"297862712",205030291
"2024-04-17 19:50:48.357+00",1320,"","buy",61154.63,61136.5,61138.03,"297862708",205030287
"2024-04-17 19:50:48.357+00",25000,"","buy",61154.63,61140.5,61138.03,"297862711",205030290
"2024-04-17 19:50:48.357+00",19400,"","buy",61154.63,61136.5,61138.03,"297862707",205030286
"2024-04-17 19:50:48.357+00",5000,"","buy",61154.63,61138.5,61138.03,"297862709",205030288
"2024-04-17 19:50:48.357+00",25000,"","buy",61154.63,61136.5,61138.03,"297862705",205030284
"2024-04-17 19:50:48.357+00",4130,"","buy",61154.63,61147.5,61138.03,"297862713",205030292
"2024-04-17 19:50:46.838+00",130,"","sell",61165.5,61148.5,61149.04,"297862703",205030282
"2024-04-17 19:50:46.838+00",130,"","sell",61165.5,61148.5,61149.04,"297862704",205030283
"2024-04-17 19:50:46.124+00",100,"","sell",61165.5,61148.5,61148.88,"297862700",205030279
"2024-04-17 19:50:46.124+00",150,"","sell",61165.5,61148.5,61148.88,"297862702",205030281
"2024-04-17 19:50:46.124+00",150,"","sell",61165.5,61148.5,61148.88,"297862701",205030280
"2024-04-17 19:50:45.569+00",30,"","sell",61157.16,61148.5,61139.96,"297862699",205030278
"2024-04-17 19:50:45.145+00",10,"","buy",61157.16,61136,61139.96,"297862698",205030277
"2024-04-17 19:50:44.573+00",10,"","buy",61147.92,61129,61130.72,"297862694",205030273
"2024-04-17 19:50:44.573+00",10,"","buy",61147.92,61129,61130.72,"297862697",205030276
"2024-04-17 19:50:44.573+00",21850,"","buy",61147.92,61129,61130.72,"297862692",205030271
"2024-04-17 19:50:44.573+00",25000,"","buy",61147.92,61129,61130.72,"297862693",205030272
"2024-04-17 19:50:44.573+00",390,"","buy",61147.92,61129,61130.72,"297862695",205030274
"2024-04-17 19:50:44.573+00",1040,"","buy",61147.92,61129,61130.72,"297862696",205030275
"2024-04-17 19:50:44.572+00",7510,"","buy",61147.92,61129,61130.72,"297862691",205030270
"2024-04-17 19:50:44.562+00",26110,"","buy",61147.92,61129,61130.72,"297862690",205030269
"2024-04-17 19:50:38.186+00",80,"","sell",61146.42,61128.5,61129.85,"297862689",205030268
"2024-04-17 19:50:28.654+00",90,"","sell",61171.42,61157,61156.52,"297862686",205030267
"2024-04-17 19:50:27.803+00",2320,"","sell",61173.17,61163.5,61158.27,"297862685",205030266
"2024-04-17 19:50:27.678+00",340,"","sell",61173.17,61163.5,61158.27,"297862684",205030265
"2024-04-17 19:50:27.676+00",1200,"","sell",61173.17,61163.5,61158.27,"297862683",205030264
"2024-04-17 19:50:27.671+00",2320,"","sell",61173.17,61163.5,61158.27,"297862682",205030263
"2024-04-17 19:50:26.808+00",7970,"","sell",61176.76,61163.5,61161.71,"297862681",205030262
"2024-04-17 19:50:26.804+00",3550,"","sell",61176.76,61163.5,61161.71,"297862680",205030261
"2024-04-17 19:50:26.802+00",1410,"","sell",61176.76,61163.5,61161.71,"297862679",205030260
"2024-04-17 19:50:26.8+00",15360,"","sell",61176.76,61163.5,61161.71,"297862678",205030259
"2024-04-17 19:50:26.799+00",17800,"","sell",61176.76,61163.5,61161.71,"297862677",205030258
"2024-04-17 19:50:26.797+00",7020,"","sell",61176.76,61163.5,61161.71,"297862676",205030257
"2024-04-17 19:50:26.795+00",14200,"","sell",61176.76,61163.5,61161.71,"297862675",205030256
"2024-04-17 19:50:26.791+00",7990,"","sell",61176.76,61163.5,61161.71,"297862674",205030255
"2024-04-17 19:50:26.788+00",2180,"","sell",61176.76,61163.5,61161.71,"297862673",205030254
"2024-04-17 19:50:26.774+00",10920,"","sell",61176.76,61163.5,61161.71,"297862672",205030253
"2024-04-17 19:50:26.395+00",2580,"","sell",61176.76,61163.5,61161.71,"297862671",205030252
"2024-04-17 19:50:26.39+00",5360,"","sell",61176.76,61163.5,61161.71,"297862670",205030251
"2024-04-17 19:50:26.384+00",2340,"","sell",61176.76,61163.5,61161.71,"297862669",205030250
"2024-04-17 19:50:26.379+00",90,"","sell",61176.76,61163.5,61161.71,"297862668",205030249
"2024-04-17 19:50:26.375+00",25080,"","sell",61176.76,61163.5,61161.71,"297862667",205030248
"2024-04-17 19:50:26.37+00",160,"","sell",61176.76,61163.5,61161.71,"297862666",205030247
"2024-04-17 19:50:26.317+00",2900,"","sell",61176.76,61163.5,61161.71,"297862665",205030246
"2024-04-17 19:50:26.316+00",9970,"","sell",61176.76,61163.5,61161.71,"297862664",205030245
"2024-04-17 19:50:26.275+00",1570,"","sell",61176.76,61163.5,61161.71,"297862663",205030244
"2024-04-17 19:50:26.271+00",14050,"","sell",61176.76,61163.5,61161.64,"297862662",205030243
"2024-04-17 19:50:26.264+00",14600,"","sell",61176.76,61163.5,61161.64,"297862661",205030242
"2024-04-17 19:50:26.239+00",1790,"","sell",61176.76,61163.5,61161.64,"297862660",205030241
"2024-04-17 19:50:26.236+00",46940,"","sell",61176.76,61163.5,61161.64,"297862659",205030240
"2024-04-17 19:50:25.873+00",8070,"","sell",61179.41,61163.5,61164.29,"297862656",205030239
"2024-04-17 19:50:25.859+00",8250,"","sell",61179.41,61163.5,61164.29,"297862655",205030238
"2024-04-17 19:50:25.756+00",25860,"","sell",61179.41,61163.5,61164.29,"297862654",205030237
"2024-04-17 19:50:22.568+00",260,"","sell",61186.66,61179,61171.65,"297862650",205030236
"2024-04-17 19:50:22.225+00",80,"","sell",61186.66,61179,61171.54,"297862649",205030235
"2024-04-17 19:50:19.99+00",200,"","buy",61193.16,61183,61177.99,"297862648",205030234
"2024-04-17 19:50:18.835+00",20,"","buy",61181.04,61164,61165.39,"297862647",205030233
"2024-04-17 19:50:18.825+00",11690,"","buy",61181.04,61164,61165.39,"297862645",205030231
"2024-04-17 19:50:18.825+00",10110,"","buy",61181.04,61164,61165.39,"297862646",205030232
"2024-04-17 19:50:18.761+00",10350,"","buy",61181.04,61164,61165.39,"297862644",205030230
"2024-04-17 19:50:18.754+00",38390,"","buy",61181.04,61164,61165.39,"297862643",205030229
"2024-04-17 19:50:15.279+00",840,"","buy",61177.94,61164,61162.34,"297862641",205030228
"2024-04-17 19:50:15.273+00",840,"","sell",61177.94,61245,61238.41,"297862640",304741
"2024-04-17 19:50:15.253+00",840,"","buy",61177.94,61164,61162.34,"297862639",205030227
"2024-04-17 19:50:15.219+00",4160,"","buy",61177.94,61164,61162.34,"297862638",205030226
"2024-04-17 19:50:15.214+00",840,"","sell",61177.94,61245,61238.41,"297862637",304740
"2024-04-17 19:50:15.163+00",5000,"","buy",61177.94,61164,61162.34,"297862636",205030225
"2024-04-17 19:50:15.161+00",4160,"","sell",61177.94,61245,61238.41,"297862635",304739
