"currency","ts","expiration","strike","gamma_level","dealer_net_inventory","dealer_tot_inventory"
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",300000,0,29.9,76.2
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",250000,0,5.4,9.6
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",220000,0,13.5,62.5
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",200000,0,-1059.5,-1462.3
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",180000,0,22.4,51.7
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",160000,0,-3.5,-17
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",150000,0,22.2,72.1
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",140000,0,-9.7,-30.6
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",130000,0,-4.6,-26.7
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",120000,0,18.2,48.2
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",110000,0,1,24.4
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",100000,0,11.7,92.7
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",90000,0,-4.4,-31.7
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",85000,0,24.6,45.6
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",80000,0,-8.9,-16.1
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",75000,0,-1.1,-2.4
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",70000,0,-8.7,-20.8
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",65000,0,8.7,14.6
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",60000,0,11.8,16.3
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",55000,0,8.6,33.9
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",50000,0,22.9,35.4
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",40000,0,36.1,58.5
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",30000,0,-6.2,-62.7
"BTC","2024-04-17 19:00:00","2025-03-28 08:00:00",20000,0,-1.6,0.19
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",300000,0,52.4,287.4
"BTC","2024-04-17 19:00:00","2024-12-27 08:00:00",240000,0,-50.1,-380
